0000 0000 Line-3
 101  999.0 -999.0 RI0000 000 000     4
  35.0000   10.0000 3
  15.0000   10.0000 2
  10.0000   10.0000 2
   5.0000   10.0000 2
  99.0000  99.0000 3
0000 0000 Line-4
 102  999.0 -999.0 RI0000 000 000     4
  10.0000    5.0000 3
  10.0000   15.0000 2
  10.0000   30.0000 2
  10.0000   40.0000 2
  99.0000  99.0000 3
0000 0000 Line-2
 103  999.0 -999.0 RI0000 000 000     4
  35.0000   20.0000 3
  15.0000   20.0000 2
  10.0000   20.0000 2
   5.0000   20.0000 2
  99.0000  99.0000 3
0000 0000 Line111
 103  999.0 -999.0 RI0000 000 000     3
 -10.0000   -5.0000 3
 -15.0000   -5.0000 2
 -20.0000   -5.0000 2
  99.0000  99.0000 3
0000 0000 Line-1
 105  999.0 -999.0 RI0000 000 000     4
  20.0000    5.0000 3
  20.0000   15.0000 2
  20.0000   30.0000 2
  20.0000   40.0000 2
  99.0000  99.0000 3
0000 0000 Line222
 106  999.0 -999.0 RI0000 000 000     3
 -10.0000  -15.0000 3
 -15.0000  -15.0000 2
 -20.0000  -15.0000 2
  99.0000  99.0000 3
0000 0000 LINE
 101  999.0 -999.0 RI0000 000 000     8
 -15.7278   16.9472 3
 -19.1555   11.9118 2
 -25.3407   11.5341 2
 -27.7778   16.2302 2
 -28.3955   23.5808 2
 -24.7392   27.4373 2
 -18.2924   26.4726 2
 -15.4449   23.5552 2
  99.0000  99.0000 3
0000 0000 Platepolygon-From-SingleLine
 104  999.0 -999.0 PP0000 000 000     0
gplates_00_00_0000_LINE_101_ 999.0_-999.0_RI_0000_000_#2#-15.7278#16.9472#0.999978#0#0#0#0#0#
NULL
