0000 0000 Line-3
 101  999.0 -999.0 RI0000 000 000     4
  35.0000   10.0000 3
  15.0000   10.0000 2
  10.0000   10.0000 2
   5.0000   10.0000 2
  99.0000  99.0000 3
0000 0000 Line-4
 102  999.0 -999.0 RI0000 000 000     4
  10.0000    5.0000 3
  10.0000   15.0000 2
  10.0000   30.0000 2
  10.0000   40.0000 2
  99.0000  99.0000 3
0000 0000 Line-2
 103  999.0 -999.0 RI0000 000 000     4
  35.0000   20.0000 3
  15.0000   20.0000 2
  10.0000   20.0000 2
   5.0000   20.0000 2
  99.0000  99.0000 3
0000 0000 Line111
 103  999.0 -999.0 RI0000 000 000     3
 -10.0000   -5.0000 3
 -15.0000   -5.0000 2
 -20.0000   -5.0000 2
  99.0000  99.0000 3
0000 0000 Line-1
 105  999.0 -999.0 RI0000 000 000     4
  20.0000    5.0000 3
  20.0000   15.0000 2
  20.0000   30.0000 2
  20.0000   40.0000 2
  99.0000  99.0000 3
0000 0000 Line222
 106  999.0 -999.0 RI0000 000 000     3
 -10.0000  -15.0000 3
 -15.0000  -15.0000 2
 -20.0000  -15.0000 2
  99.0000  99.0000 3
0000 0000 LINE
 101  999.0 -999.0 RI0000 000 000     8
 -15.7278   16.9472 3
 -19.1555   11.9118 2
 -25.3407   11.5341 2
 -27.7778   16.2302 2
 -28.3955   23.5808 2
 -24.7392   27.4373 2
 -18.2924   26.4726 2
 -15.4449   23.5552 2
  99.0000  99.0000 3
0000 0000 Platepolygon-From-SingleLine
 104  999.0 -999.0 PP0000 000 000     0
gplates_00_00_0000_LINE_101_ 999.0_-999.0_RI_0000_000_#2#-15.7278#16.9472#0.999978#0#0#0#0#0#
NULL
0000 0000 Platepolygon-From-Mixed-Data
 103  999.0 -999.0 PP0001 000 000     0
gplates_00_00_0000_Line111_103_ 999.0_-999.0_RI_0000_000_#2#-13.7554#-4.4929#0.999963#0#0#0#0#0#
gplates_00_00_0000_Line222_106_ 999.0_-999.0_RI_0000_000_#2#-14.8803#-15.4092#0.999976#1#0#0#0#0#
NULL
0000 0000 Platepolygon-From-Intersecting-Lines
 101  999.0 -999.0 PP0001 000 000     0
gplates_00_00_0000_Line-3_101_ 999.0_-999.0_RI_0000_000_#2#16.8633#10.016#1#0#0#1#1#0#
gplates_00_00_0000_Line-4_102_ 999.0_-999.0_RI_0000_000_#2#9.8576#12.8285#0.999996#0#0#1#1#0#
gplates_00_00_0000_Line-2_103_ 999.0_-999.0_RI_0000_000_#2#14.0361#20.0679#0.999999#1#1#0#0#1#
gplates_00_00_0000_Line-1_105_ 999.0_-999.0_RI_0000_000_#2#19.7334#17.646#0.99998#1#1#0#0#1#
NULL
